id,Time,Source,Destination,Sport,Dport,Protocal
50,Sun May 30 08:06:25 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50767,80,TCP
51,Sun May 30 08:06:25 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50775,443,TCP
52,Sun May 30 08:06:26 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50776,443,TCP
53,Sun May 30 08:06:26 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,443,50776,TCP
54,Sun May 30 08:06:26 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50776,443,TCP
55,Sun May 30 08:06:26 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50776,443,TCP
56,Sun May 30 08:06:26 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50776,443,TCP
57,Sun May 30 08:06:27 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,51109,27018,UDP
58,Sun May 30 08:06:27 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50764,443,TCP
59,Sun May 30 08:06:27 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,443,50764,TCP
